year,to_country_id,to_country,performer,song,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf,composers,lyricists,lyrics,youtube_url
2015,nl,Netherlands,Trijntje Oosterhuis,Walk Along,1.0,,4,,,14,33.0,,,,,Tobias Karlsson,Anouk Teeuwe,"I open up my heart to you\nI cry for your attention\nStill you haven't seen it yet\nYou only see me as a friend\nBut I wish you were waiting\nWith roses at sunset\nWhy? why-y-y, why-y-y-y?\nWon't you walk along, walk along\nBaby\nWhy? why-y-y, why-y-y-y?\nWon't you walk along, walk along\nBaby\n\nGentle smile passing your way\nIt's not that I don't try\nBut you don't even notice me here\nIn another time and place,\nAnother lifetime maybe\nIf only for a little while\nWhy? why-y-y, why-y-y-y?\nWon't you walk along, walk along\nBaby\nWhy? why-y-y, why-y-y-y?\nWon't you walk along, walk along\nBaby\n\nI don't seem to get you\nTo look at me one time\nWon't you walk along, walk along\nBaby, this is not a little crush\nDon't wanna wait in line\nWon't you walk along, walk along\nBaby!\n\nUuh uuh\nUuh uuh\nI love you, I love you baby\nUuh uuh\nUuh uuh\nIf only for a little while\n\nWhy? why-y-y, why-y-y-y?\nWon't you walk along, walk along\nBaby\nWhy? why-y-y, why-y-y-y?\nWon't you walk along, walk along\nBaby\nWhy? Why-y-y, why-y-y-y?\nI love you, I love you baby\nWhy? Why-y-y, why-y-y-y?\nWon't you walk along, walk along baby",https://youtube.com/watch?v=O_fs4SPGyF0
2015,mk,North MacedoniaN.Macedonia,Daniel Kajmakoski,Autumn Leaves,1.0,,8,,,15,28.0,,,,,Joacim Persson,Joacim Persson,Met in the dark of night you were my lucky strike crazy kids with out a clue\nHanging from our knees up in the willow trees easy like the month of June\nA fairytale gone right with no ending in sight had me tangled up in blue\nYou said we'd never change but maybe we do\n\nBaby this is all we ever used to know \nBut I can see your colours change to red and gold\n\nEvery moment will hurt\nFrom the last to the ﬁrst\nAnd I'm trying ﬁnd a way to breathe\nClose the book and the chapter forever and after \nI'm falling like the autumn leaves\nMy heart is beating like a million drums\nCuz you're the ground under my feet\nI'm trying to hold on but baby I'm falling free\nLike the autumn leaves \n\nBaby this is all we ever used to know \nBut I can see your colours change to red and gold\n\nEvery moment will hurt\nFrom the last to the ﬁrst\nAnd I'm trying ﬁnd a way to breathe \nClose the book and the chapter forever and after \nI'm falling like the autumn leaves \nMy heart is beating like a million drums\nCuz you're the ground under my feet \nI'm trying to hold on but baby I'm falling free \nLike the autumn leaves,https://youtube.com/watch?v=TtSum7ouImU
2015,fi,Finland,Pertti Kurikan Nimipäivät,Aina Mun Pitää,1.0,,5,,,16,13.0,,,,,Kari Aalto;Pertti Kurikka;Sami Helle;Toni Välitalo,Kari Aalto;Pertti Kurikka;Sami Helle;Toni Välitalo,"aina mun pitää siivota\naina mun pitää tiskata\naina mun pitää käydä töissä\naina mun pitää käydä lääkärissä\nei saa mennä koneelle\nen katsoa telkkarii\nen saa edes nähdä mun kavereita\naina mun pitää olla kotona\naina mun pitää hoitaa tehtäviä\naina mun pitää syödä kunnolla\naina mun pitää juoda kunnolla\nen saa syödä karkkia, juoda limua\nen saa edes juoda alkoholia\naina mun pitää levätä\naina mun pitää nukkua\naina mun pitää herätä\naina mun pitää käydä suihkussa",https://youtube.com/watch?v=v4Y0HOPL5GU
2015,mt,Malta,Amber,Warrior,2.0,,5,,,11,43.0,,,,,Elton Zarb,Matt Mercieca,"We suffer silently,\nalways fighting to break free.\n\nWe were living in a shadow.\nWe were too scared to let go.\nWouldn’t accept defeat.\n\nWhen by losing we were winning.\nWe have to be courageous\nto be able to get through this.\nAnd then it hits.\n\nBreak through the silence\nThe noise is louder than its ever been\nCreate something timeless\nNever look back\nThe past is the past\nI had no choice but to become a\nWarrior\nI had to conquer\nI did not break, I left my faith in hope\n\nWe are not the enemy,\nWe’re just tired of suffering.\n\nWe broke through the shadows\nWe finally let go\nit was not defeat\nit was us truly winning\nWe were courageous\nand we got through this.\nAnd then it hits.\n\nBreak through the silence\nThe noise is louder than its ever been\nCreate something timeless\nNever look back\nThe past is the past\nI had no choice but to become a\nWarrior\nI had to conquer\nI did not break, I left my faith in hope\n\nI’m a warrior, I will conquer\nI’m a warrior, I will conquer\nI’m a warrior!",https://youtube.com/watch?v=SaJxu3vorLc
2015,ie,Ireland,Molly Sterling,Playing With Numbers,2.0,,2,,,12,35.0,,,,,Greg French;Molly Sterling,Greg French,"Do I owe you something?\nI think I do\nThey tied our hands\nBut I cut through\n\nIn the arms of the potion\nThey found our truth\nAnd I made a burrow\nAbandoned you\n\nAnd I made the mess in your vision\nAnd I see a debt to be paid\nTo give a little love was all I wanted\nGive a little love was all my intent\n\nAnd I was playing with numbers\nAnd I didn't know what it meant\n\nPlease don't remind me\nI won't be your news\nFragile misguided minds like mine\nOnly bow to you\n\nOh, while I played with white lies and fiction\nUnbeknownst to you\nI played the victim\nWell that was the last time I pierced you\n\nAnd I made the mess in your vision\nAnd I see a debt to be paid\nTo give a little love was all I wanted\nGive a little love was all my intent\n\nAnd I was playing with numbers\nAnd I didn't know what it meant\n\nI can watch from afar, from my heart to my home\nAll along I was lost, I was worse, this is wrong\nI can't force this, just watch as the surface surrenders it all\n\nI made the mess in your vision\nAnd I see a debt to be paid\nTo give a little love was all I wanted\nGive a little love was all my intent\n\nI was playing with numbers\nAnd I didn't know what it meant",https://youtube.com/watch?v=3B5sdNJF0lk
2015,cz,Czech RepublicCzechia,Marta Jandová & Václav Noid Bárta,Hope Never Dies,2.0,,8,,,13,33.0,,,,,Václav Noid Bárta,Tereza Šoralová,"Wait for me, don’t cross the sea of pain\nWait for me, I’m lost, I’ve gone astray\nRavens calling my name, their wings so dark\nSoon they’ll take me away, I have their mark\nThey never miss their prey\n\nThere is no light to pray for\nCold and dim are the skies\nWounded, lying, running out of life\nOut of life\n\nIn your eyes I could see\nOur hopes and our future\nNow we must let go\n\nFind me where the night turns into day\nTurns into day, your love as a torch shows us the way\nThe way how to be whole again\n\nThere is no light to pray for\nCold and dim are the skies\nWounded, lying, running out of life\nOut of life\n\nIn your eyes I could see\nOur hopes and our future\nNow we must let go\n\nMust let go\nMust let fade away\nOr we can rise and fight\n\nFor a light to live for\nFire in our hearts\nThrough our pain\nThrough all the, all the lies\n\nWe will walk, walk reborn\nHope never dies\nNever let me go\n\nNever let me go",https://youtube.com/watch?v=SLz6VeSPXjA
2015,pt,Portugal,Leonor Andrade,Há um mar que nos Separa,2.0,,7,,,14,19.0,,,,,Miguel Gameiro,Miguel Gameiro,São três da manha e a chuva cai nas ruas da cidade\nBate uma saudade no meu peito\nVejo se me endireito mas falta-me a vontade\nEu não sou eu se tu não estás\n\nSe é o mar que nos separa\nVou secá-lo de saudade\nE apertar-te contra o peito\nBeijo feito de vontade\n\nAinda tenho as tuas mãos no meu rosto\nE o gosto a mel da tua boca\nLouca foi a noite em que te conheci\nTriste a madrugada em que te perdi\n\nSe é o mar que nos separa\nVou secá-lo de saudade\nE apertar-te contra o peito\nBeijo feito de vontade\n\nSe é o mar que nos separa\nVou secá-lo de saudade\nE apertar-te contra o peito\nBeijo feito de vontade\n\nSe é o mar que nos separa,https://youtube.com/watch?v=vE-LqXkb0ok
2015,is,Iceland,María Ólafsdóttir,Unbroken,2.0,,12,,,15,14.0,,,,,Ásgeir Orri Ásgeirsson;Pálmi Ragnar Ásgeirsson;Sæþór Kristjánsson,Ásgeir Orri Ásgeirsson;María Ólafsdóttir;Pálmi Ragnar Ásgeirsson;Sæþór Kristjánsson,One step at a time\nout of the darkness\none foot in front of the other.\n\nOne step at a time\ninto the distance\na new path I need to uncover.\n\nI'm letting go.\nGo.\n\nOne step at a time\nget out of the darkness\nand into the light forever.\nOne step at a time\nI pick up the pieces\ntry putting them back together\ntill I'm unbroken.\nUnbroken.\nOne step at a time\nget out of the darkness\nand into the light forever.\n\nOne step at a time\nand I got a feeling\nit's either now or never.\n\nI'm letting go.\nGo.\n\nOne step at a time\nget out of the darkness\nand into the light forever.\nOne step at a time\nI pick up the pieces\ntry putting them back together\ntill I'm unbroken.\nUnbroken\n\nOne step at a time\nget out of the darkness\nand into the light forever.\n\nI'm letting gon.\nGo. \n\nOne step at a time\nget out of the darkness\nand into the light forever.\nOne step at a time\nI pick up the pieces\ntry putting them back together\ntill I'm unbroken.\nUnbroken. \n\nOne step at a time\nget out of the darkness\nand into the light forever.\n\nI'm letting go.\nGo.\n\nOne step at a time\nget out of the darkness\nand into the light forever.\nOne step at a time\nI pick up the pieces\ntry putting them back together\n'til I'm unbroken.\nUnbroken. \n\nOne step at a time\nget out of the darkness\nand into the light forever.,https://youtube.com/watch?v=0Jl-Hr137uM
2015,sm,San Marino,Michele Perniola & Anita Simoncini,Chain Of Lights,2.0,,3,,,16,11.0,,,,,Ralph Siegel,John O'Flynn,"No\n\nI don't wanna dream forever\nOf a time when peace was more than just a simple word\nI wanna find a better way of living\nAnd connect my tears and fears with friends \nUnderstanding and forgiving\nMust give this world a final chance\n\nI can feel life is changin'\nTimes are rearrangin'\nIn so many many ways\nLet us try to make the world\nA better place\n\nSo light up the candles\nLet's illuminate the night\nJust light up the candles\nLet Them shine on deep inside\nBuild a chain of light for you \nAnd a chain of light for me\nAnd believe that we can change reality\n\nWe've only got one life\nSo let's try to make our dreams survive\nMaybe we'll find out that many people feel the same – oh yeah\nOne's a lonely number – but together\nWe can make a million candles \nShine forever\nLet us build a chain of hearts\nIn a world that‘s blue and dark\n\nSo light up the candles\nLet's illuminate the night\nAn' together hand in hand\nWe will feel the love inside\nBuild a chain of love for you\n(chain of love for you)\nAnd a chain of love for me\n(chain of love for me)\nWe will let our vision change reality\n\nIf we all light a candle\nWe could build a chain of light\nIf we all walk together\nWe will feel the love inside\nIt's a chain of hearts for you\nChain of hearts for you\nAnd a chain of hearts for me\nChain of hearts for me\nLet's create a world that's human, fair and bright\n\nIf we all light a candle\n(If we all light a candle)\nWe‘d illuminate the night\n(We'd illuminate the night)\nIf we all walk together\n(Yes we should)\nWe will feel the love inside\nIt's a chain of light for you \nChain of light for you\nAnd a chain of light for me\nChain of light for me\nWe can build a peaceful world – \nLet's do it right\nStanding side by side\nIt's a chain of love for you\nChain of love for you\nAnd a chain of love for me\nChain of love for me\nLet's create a world that's human, fair and bright",https://youtube.com/watch?v=FE1KJYNvVAE
2015,ch,Switzerland,Mélanie René,Time To Shine,2.0,,14,,,17,4.0,,,,,Mélanie René,Mélanie René,"I've been walking, in the darkness\nAlways hiding from my true self\nAfraid of letting go, of deception in their eyes\nA wounded ego, unafraid to start a fight\n\nI've been walking, on a lonely road\nFor many stories, I have once been told\nNo matter what they say\nI will follow my heart\nI think it's time for me to stand up\nAnd hold my ground\n\n'Cause I'm living my dreams\nNever been so alive\nThe sky's the limit\nnow that I know I can fly\nNo more pulling me down, no more mucking around\nI'm growing up, I'm growing up\nAnd it's my time to shine\nYeah, it's my time to shine\n\nIt don't matter if I'm wrong or right\nI'm getting stronger every time\nI try not to let it go\nTake it one step at a time\nI've made my ego, now it's time for me to let it shine\n\n'Cause I'm living my dreams\nThe sky's the limit\nnow that I know I can fly\nNo more pulling me down, no more mucking around\nI'm growing up, I'm growing up\nAnd it's my time to shine\nYeah, it's my time to shine\n\nI've been walking, in the darkness\nAlways hiding from my true self\nI've learned to let it go\nI've learned to let it go\nI've learned to let it go\nNow it's my time to shine\n\n'Cause I'm living my dreams\nNever been so alive\nThe sky's the limit\nnow that I know I can fly\nNo more pulling me down, no more mucking around\nI'm growing up, I'm growing up\nAnd it's my time to shine\nYeah, it's my time to shine",https://youtube.com/watch?v=ya1r_nFHiCQ
2016,ua,Ukraine,Jamala,1944,2.0,21,14,1,534.0,2,287.0,323,211,152,135,Jamala,Jamala,"When strangers are coming\nThey come to your house\nThey kill you all and say\nWe're not guilty, not guilty\n\nWhere is your mind? Humanity cries\nYou think you are gods but everyone dies\nDon't swallow my soul\nOur souls\n\nYaşlığıma toyalmadım\nMen bu yerde yaşalmadım\nYaşlığıma toyalmadım\nMen bu yerde yaşalmadım\n\nWe could build a future\nWhere people are free\nTo live and love\nThe happiest time, our time\n\nWhere is your heart? Humanity rise\nYou think you are gods but everyone dies\nDon't swallow my soul\nOur souls\n\nYaşlığıma toyalmadım, ooh\nMen bu yerde yaşalmadım\nYaşlığıma toyalmadım\nMen bu yerde yaşalmadım\n\nYaşlığıma toyalmadım, oh, oh\nMen bu yerde yaşalmadım\nYaşlığıma toyalmadım\nVatanıma toyalmadım",https://youtube.com/watch?v=B-rnM-MwRHY
2016,au,Australia,Dami Im,Sound of Silence,2.0,13,10,2,511.0,1,330.0,191,320,142,188,Anthony Egizii;David Musumeci,Anthony Egizii;David Musumeci,Growing tired and weary brown eyes\nTrying to feel your love through face time \nSymphonies of dreams and highlights \nCaught up in this crazy fast life\nBut baby you're not here with me \nAnd I keep calling calling \nKeep calling cause\n\nNow my heart awakes to the sound of silence \nAnd it beats to the sound of silence \nAnd it beats to the sound of silence \nNow my heart awakes to the sound of silence \nAnd it beats to the sound of silence \nAnd it beats to the sound of silence\n\nGetting hard to break through the madness \nYou're not here it never makes sense \nTidal waves of tears are crashing \nNo one here to save me drowning \nCause baby you're not here with me \nAnd I keep calling calling \nKeep calling cause\n\nNow my heart awakes to the sound of silence \nAnd it beats to the sound of silence \nAnd it beats to the sound of silence \nNow my heart awakes to the sound of silence \nAnd it beats to the sound of silence \nAnd it beats to the sound of silence\n\nI know I'm stronger and I'm capable\nI know it's all in my head\nBut I keep calling calling\nCalling calling\n\nNow my heart awakes to the sound of silence \nAnd it beats to the sound of silence \nAnd it beats to the sound of silence \nNow my heart awakes to the sound of silence \nAnd it beats to the sound of silence \nAnd it beats to the sound of silence,https://youtube.com/watch?v=5ymFX91HwM0
2016,ru,Russia,Sergey Lazarev,You Are the Only One,1.0,18,9,3,491.0,1,342.0,361,130,194,148,Dimitris Kontopoulos;Philipp Kirkorov,John Ballard;Ralph Charlie,"We can never let the word be unspoken\nWe will never let our loving go, come undone\nEverything we had is staying unbroken, oh\nYou will always be the only one\n\n​You're the only one\n​\n​Won't ever give up 'cause you're ​still somewhere out there\nNothing or no one's gonna keep us apart\n​Breaking it down but I'm still getting nowhere\n​Won't stop, hold on\n\n​Thunder and lightning, it's getting exciting\n​Lights up the skyline to show where you are\n​My love is rising, the story's unwinding\n​Together we'll make it and reach for the stars\n\n​You're the only one, you're my only one\n​You're my life, every breath that I take\n​Unforgettable, so unbelievable\n​You're the only one, my only one\n\n​I could have told you to slow down and stay down\n​I could have told you a secret, won't you keep it now?\n​Thinking of making a showdown when love is found\n​Thinking of waiting till you're around\n​\n​​Won't ever give up 'cause you're ​still somewhere out there\nNothing or no one's gonna keep us apart\n​Breaking it down but I'm still getting nowhere\n​Won't stop, hold on\n\n​Thunder and lightning, it's getting exciting\n​Lights up the skyline to show where you are\n​My love is rising, the story's unwinding\n​Together we'll make it and reach for the stars\n\n​You're the only one, you're my only one\n​You're my life, every breath that I take\n​Unforgettable, so unbelievable\n​You're the only one, my only one\n\nYou're my only one\n\n​Thunder… (and lightning)\n(It's getting exciting) It's getting exciting…\n(​Lights up the skyline to show where you are)\nTo show where you are…\n\n(​You're the only one) You're my only one\n​You're my life, every breath that I take\n​Unforgettable, so unbelievable\n​You're the only one, my only one",https://youtube.com/watch?v=e94dst20C9Y
2016,bg,Bulgaria,Poli Genova,If Love Was a Crime,2.0,8,12,4,307.0,5,220.0,180,127,122,98,Borislav Milanov;Joacim Persson;Sebastian Arman,Borislav Milanov;Joacim Persson;Poli Genova;Sebastian Arman,"You and I we collide\nLike the stars on the summer night\nWe can shine for ever\n\nAnd you and I we're alive\nWhat we feel is what is right\nWe can run like never\n\nIf love was a crime then we would be criminals\nLocked up for life but I'll do the time\nIf love was a crime then we would work miracles\nHigh above the ground\n\nThey will never break us down\n\nО, Day mi lyubovta\nDay mi lyubovta\nО, Day mi lyubovta\nThey will never break us down\nО, Day mi lyubovta\nDay mi lyubovta\nО, Day mi lyubovta\nThey will never break us down\n\nNever mind \nWrong or right\nOur love ain't got no pride\nSo we change for better\n\nUnafraid\nNever fade\nWhen it's dark we illuminate\nCan we rise together\n\nIf love was a crime then we would be criminals\nLocked up for life but I'll do the time\nIf love was a crime then we would work miracles\nHigh above the ground\n\nThey will never break us down\n\nО, Day mi lyubovta\nDay mi lyubovta\nО, Day mi lyubovta\nThey will never break us down\nО, Day mi lyubovta\nDay mi lyubovta\nО, Day mi lyubovta\nThey will never break us down\n\nTogether we're untouchable\nYou and me against the world\nTogether we're invincible\nTogether we're untouchable\nYou and me against the world\nTogether we're invincible\nThey will never break us down",https://youtube.com/watch?v=PQqUTigWKHY
2016,se,Sweden,Frans,If I Were Sorry,,9,,5,261.0,,,139,122,,,Frans Jeppsson Wall;Fredrik Andersson;Michael Saxell;Oscar Fogelström,Frans Jeppsson Wall;Fredrik Andersson;Michael Saxell;Oscar Fogelström,"I'd crawl through the desert on my hands and knees\nRehearsing my pretty please\nClimb the highest mountain if I were sorry\n\nShout it from the top\nSwim under water until my lungs exploded\nWalk into the fire if I were sorry\n\nI'd run a thousand miles\nWouldn't stop until I dropped\nWouldn't take a break to breathe\nUntil I got close enough\n\nThen I'd do it all again\nIf I really had the chance\nBut I know deep inside for you\nIt's just another dance\n\nIf I were sorry\nI'd give you all the glory\nIf I were sorry\n\nIf I were sorry\nIt would be a different story\nIf I were sorry, if I were sorry oh\n\nI'd hold my breath until my face turned blue\nI'd rob a bank and the post office too\nSwim across the ocean if I were sorry\n\nI'd take a wow of silence\nI wouldn't say a single word\nUntil you really heard if I were sorry\n\nI'd run a thousand miles\nWouldn't stop until I dropped\nWouldn't take the break to breathe\nUntil I, I got close enough\n\nIf I were sorry\nI'd give you all the glory\nIf I were sorry\n\nIf I were sorry\nIt would be a different story\nIf I were sorry, oh\n\nNow did you ever realise\nThat your mistake had a price?\nOh, you threw it all away\n'Cause you're the devil in disguise\n\nNow would you ever realise\nThe consequences of your lies?\nAnd would you save the falling tear\nOr act as if there's nothing there?\n\nIf I were sorry\nIf I were sorry\nIf I were sorry\nIf I were sorry\n\nIf I were sorry\nI'd take a vow of silence\nI wouldn't say a single word\n(If I were sorry)\n\nIf I were sorry\nI'd be on my hands and knees\nBegging pretty please\nIf I were sorry\nBut I'm not sorry, no",https://youtube.com/watch?v=2AIPrVchJN8
2016,fr,France,Amir,J'ai Cherché,,11,,6,257.0,,,109,148,,,Amir Haddad;Johan Errami;Nazim Khaled,Amir Haddad;Nazim Khaled,"J'ai cherché un sens à mon existence\nJ'y ai laissé mon innocence\nJ'ai fini le cœur sans défense \nJ'ai cherché \nL'amour et la reconnaissance\nJ'ai payé le prix du silence\nJe me blesse et recommence\n\nTu m'as Comme donné l'envie d'être moi\nDonné un sens à mes pourquoi\nTu as tué la peur\nQui dormait là, qui dormait là\nDans mes bras\n\nYou-ou-ou-ou-ou\nYou're the one that's making me strong\nI'll be looking, looking for \nYou-ou-ou-ou-ou\nLike the melody of my song\n\nYou-ou-ou-ou-ou\nYou're the one that's making me strong\nI'll be looking, looking for\nYou-ou-ou-ou-ou\nLike the melody of my song\n\nJ'ai cherché un sens,\nun point de repère\nPartagé en deux hémisphères\nComme une erreur de l'Univers\nJ'ai jeté tellement de bouteilles à la mer\nJ'ai bu tant de liqueurs amères\nQue j'en ai les lèvres de pierre\n\nYou-ou-ou-ou-ou\nYou're the one that's making me strong\nI'll be looking, looking for\nYou-ou-ou-ou-ou\nLike the melody of my song\n\nYou-ou-ou-ou-ou\nYou're the one that's making me strong\nI'll be looking, looking for\nYou-ou-ou-ou-ou\nLike the melody of my song\n\nAu gré de nos blessures\nEt de nos désinvoltures\nC'est quand on n'y croit plus du tout\nQu'on trouve un Paradis perdu\n\nEn nous-ou-ou-ou-ou\nOh, you, you, you, you\n\nYou-ou-ou-ou-ou\nYou're the one that's making me strong\nI'll be looking, looking, looking for\nYou-ou-ou-ou-ou\nLike the melody of my song\nLike the melody of my song\n\nYou-ou-ou-ou-ou\nYou're the one that's making me strong\nI'll be looking, looking for\nYou-ou-ou-ou-ou\nLike the melody of my song\nLike the melody of my song\n\nYou-ou-ou-ou-ou\nYou're the one that's making me strong\nI'll be looking, looking, looking for\nYou-ou-ou-ou-ou\nGive me your love with my song\nGive me your love with my song",https://youtube.com/watch?v=-aLPsiyavcU
2016,am,Armenia,Iveta Mukuchyan,LoveWave,1.0,26,7,7,249.0,2,243.0,134,115,116,127,Levon Navasardyan;Lilith Navasardyan,Iveta Mukuchyan;Stephanie Crutchfield,"Hey it's me.\nLook, I know it might sound strange but\nsuddenly I'm not the same I used to be.\nIt's like I've stepped out of space and time and come alive.\n\nWhen it touched me the world went silent,\nCalm before the storm reaches me. \nThe ground in motion set off all sirens,\nYou took over my heartbeat, beat, beat, beat.\n\nIt's taking over me.\n\nYou\nShook my life like an earthquake now I'm waking up,\nYou\nGave me faith now I can break every single wall, \nYou\nProve we can do it all when all is out of love,\nYou (oh like a lovewave)\nSpread a lovewave 'n my heart goes ba-ba-da-bu-who-oh-oh.\n\nCaught in a downward spiral,\nI lost my soul in my dreams.\nI would give up and lose all trials,\nWhen one moment changed everything.\n\nWithout even a single warning,\nI'm not who I was before.\nA chain reaction with no returning,\nNow watch me craving for more.\n\nIt's taking over me.\n\nIt's taking, it's taking over me.\n\nYou (oh like a lovewave)\nShook my life like an earthquake now I'm waking up,\nYou (oh like a lovewave)\nGave me faith now I can break every single wall, \nYou (oh like a lovewave)\nProve we can do it all when all is out of love,\nYou\nSpread a lovewave ´n my heart goes ba-ba-da-bu-who-oh-oh.",https://youtube.com/watch?v=nL066Rp7J7k
2016,pl,Poland,Michał Szpak,Color of Your Life,2.0,12,2,8,229.0,6,151.0,222,7,131,20,Andy Palmer,Kamil Varen,When loneliness is knocking on your door\nEverything you loved just disappears \nAnd when you feel that everything is lost \nYou need to know\nThere's no life without tears \n\nOh oh oh\nTell me black or white \nWhat color is your life \nOh oh oh\nTry to ask your heart\nWho you really are \n\nNo one is forever beautiful and young\nEverything you know just disappears\nFame and gold are nothing you can be sure\nWhen there is no love in your heart \nThe choice is yours who you really want to be\nDon't be afraid of your destiny\nSo when you feel that everything is lost\nYou need to know there's no life without fear \n\nOh oh oh\nTell me black or white \nWhat color is your life \nOh oh oh\nTry to ask your heart\nWho you really are \n\nEvery day we must fight with the wind \nWe have to live \nAll these things are just empty desire \n'Cause there's no smoke without fire \n\nOh oh oh\nTell me black or white \nWhat color is your life \nOh oh oh\nTry to ask your heart\nWho you really are \n\nOh oh oh\nTry to ask your heart\nWhat color is your life,https://youtube.com/watch?v=87BBmxm7IJU
2016,lt,Lithuania,Donny Montell,I've Been Waiting for This Night,2.0,16,9,9,200.0,4,222.0,96,104,118,104,Beatrice Robertsson;Jonas Thander,Beatrice Robertsson;Jonas Thander,"Here we are together, you and I, I\nWatching lights around us fill the night, night\nI was living in the dark\nTried to heal my broken heart until now\nHere we are together you and I, I\n\nFor a thousand years, through a million tears\nWith a hungry heart, every day apart\nI've been waiting for this night\nI've been waiting for this night\n\nWhen I see your smile and your beautiful eyes\nI get lost in time, now I know that I've\nI've been waiting for this night\nI've been waiting for this night\n\nIf only I could stay here by your side, side\nTo promise you forever here tonight, night\nThere is nothing I can do\nThat can take my heart from you, always yours\nIf only I could stay here by your side, side\n\nFor a thousand years, through a million tears\nWith a hungry heart, every day apart\nI've been waiting for this night\nI've been waiting for this night\n\nWhen I see your smile and your beautiful eyes\nI get lost in time, now I know that I've\nI've been waiting for this night\nI've been waiting for this night\n\nOh… oh…\nOh… oh…\n\nFor a thousand years, through a million tears\nWith a hungry heart, every day apart\nI've been waiting for this night\nI've been waiting for this night\n\nWhen I see your smile and your beautiful eyes\nI get lost in time, now I know that I've\nI've been waiting for this night\nI've been waiting for this night\n\nHere we are together, you and I",https://youtube.com/watch?v=O1wS7NNCo38
2016,be,Belgium,Laura Tesoro,What's the Pressure,2.0,1,18,10,181.0,3,274.0,51,130,135,139,Louis Favre;Sanne Putseys;Yannick Werther,Birsen Uçar;Sanne Putseys,"Don't ask me why the sun is shining\nNot after the day is done\nThe evening falls bright\nBring out the best in me, I see\n\nMassive falls weighing down people all around\nBut they don't seem to mind at all\nAnd I will try to stand my ground, won't be bound\nBring out the best in me\n\nWhat's the pressure?\nYou will grow, you will know in the end\nThat this is fiction\nIt's in your mind, live your life the best\n\nDon't ask me why the sun is shining\nIt brings me all joy and hope and light\nEven though these rules they, they try to take over me\nTry to take over me, I see\n\nMassive falls weighing down people all around\nBut they don't seem to mind at all\nAnd I will try to stand my ground, won't be bound\nBring out the best in me\n\nWhat's the pressure?\nYou will grow, you will know in the end\nThat this is fiction\nIt's in your mind, live your life the best\n\nNow what's the pressure?\nThis is fiction\nIt's in your mind, live your life the best\n\nYou gotta do what you wanna do\nYou gotta be who you wanna be\nSo tell me, what's the pressure?\n\nNow what's the pressure?\n'Cause this is fiction\nIt's in your mind, live your life the best\n\nNow what's the pressure?\nYou will know and you will know in the end\nThat this is fiction\nIt's in your mind, live your life the best",https://youtube.com/watch?v=xDBjhAGaeWg
2016,nl,Netherlands,Douwe Bob,Slow Down,1.0,3,6,11,153.0,5,197.0,39,114,95,102,Douwe Bob Posthuma;Jan Peter Hoekstra;Jeroen Overman;Matthijs van Duijvenbode,Douwe Bob Posthuma;Jan Peter Hoekstra;Jeroen Overman,"I'm going nowhere and I'm going fast\nI should find a place to go and rest\nI should find a place to lay my head tonight\n\nEvery morning there's another start\nEvery morning hits so hard\nGuess I'm running scared, guess I'm running on empty\n\nMister, can you help me?\n'Cause it seems I've been led astray\nI keep searching for an answer, for a way\nWon't you help me?\n\nYou gotta slow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nSlow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nDo you think I'll ever learn?\nI used to be without concern\nNow all I ever do don't seem to free me\n\nMister, can you help me?\n'Cause it seems I've been led astray\nI keep searching for an answer today\nWon't you help me?\n\nYou gotta slow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nSlow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nSlow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nSlow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nSlow down, brother\nSlow down, brother\nSlow down if you can't go on\n\nSlow down, brother\nSlow down, brother\nSlow down if you can't go on",https://youtube.com/watch?v=PwF9DI89q1w
